token|source|price_usd|price_change_24h|liquidity|block_id|fetched_at
JTO|jupiter|0.28736825192101495|3.3432940882765516|134042.56407574716|412107114|2026-04-09T16:35:17.721944+00:00
mSOL|jupiter|114.43889171231129|0.48914280105488456|271029535.6146467|412107059|2026-04-09T16:35:17.721944+00:00
ORCA|jupiter|0.8974444164931193|0.5008634183502381|367254.3360883215|412107168|2026-04-09T16:35:17.721944+00:00
RENDER|jupiter|2.0530535622242803|-0.30520275833183513|651412.4115846413|412107092|2026-04-09T16:35:17.721944+00:00
RAY|jupiter|0.6309134280643539|-0.14470841474288054|8853559.67152995|412107533|2026-04-09T16:37:30.624201+00:00
BONK|jupiter|5.862132192211646e-06|-1.0612474896562776|3000928.7554722815|412107553|2026-04-09T16:37:30.624201+00:00
DRIFT|jupiter|0.02911634004369154|-10.454875390945253|105992.53591897157|412107241|2026-04-09T16:37:30.624201+00:00
WIF|jupiter|0.19841836225000123|2.2256158794232874|5181096.281056417|412107543|2026-04-09T16:37:30.624201+00:00
USDC|jupiter|0.9999129098076367|-0.019880361775521837|485614099.8786053|412107555|2026-04-09T16:37:30.624201+00:00
USDT|jupiter|1.0000400721211218|-0.01239103420614761|33303523.62261688|412107555|2026-04-09T16:37:30.624201+00:00
PYTH|jupiter|0.045931288841229205|5.183528044882971|160867.24382555965|412107515|2026-04-09T16:37:30.624201+00:00
JitoSOL|jupiter|106.10599408059727|0.3349610246168416|930602444.2142644|412107551|2026-04-09T16:37:30.624201+00:00
JUP|jupiter|0.16096216605468608|-0.9755611196391524|3226822.3023409233|412107552|2026-04-09T16:37:30.624201+00:00
KMNO|jupiter|0.019174238072080737|-0.6302960568159659|1540085.893592285|412107432|2026-04-09T16:37:30.624201+00:00
SOL|jupiter|83.47350491165069|0.3898227957894177|666719152.7526344|412107555|2026-04-09T16:37:30.624201+00:00
HNT|jupiter|1.0174297641393837|-2.3121462419745304|467853.3275040088|412107479|2026-04-09T16:37:30.624201+00:00
JTO|jupiter|0.28736825192101495|2.900940692309009|134042.56407574716|412107114|2026-04-09T16:37:30.624201+00:00
mSOL|jupiter|114.32722574895999|0.3311942281500024|270765073.2999718|412107393|2026-04-09T16:37:30.624201+00:00
ORCA|jupiter|0.89667544452477|0.35566589080735583|368120.1695524121|412107531|2026-04-09T16:37:30.624201+00:00
RENDER|jupiter|2.0530535622242803|0.17628069104425845|651412.4115846413|412107092|2026-04-09T16:37:30.624201+00:00
RAY|jupiter|0.631937407493907|0.0007396477744084273|8849183.4367943|412107835|2026-04-09T16:39:23.549763+00:00
BONK|jupiter|5.860848855746866e-06|-1.136899619793493|3000741.8921639035|412107839|2026-04-09T16:39:23.549763+00:00
DRIFT|jupiter|0.028654972608947126|-11.200282412988468|108175.97869135585|412107717|2026-04-09T16:39:23.549763+00:00
WIF|jupiter|0.19777119519971126|1.73614944403757|5180940.039865393|412107819|2026-04-09T16:39:23.549763+00:00
USDC|jupiter|0.9999635613646948|-0.004107591804662824|485606574.16428936|412107839|2026-04-09T16:39:23.549763+00:00
USDT|jupiter|1.0000985029358604|0.0034056234476772056|33292317.457301855|412107839|2026-04-09T16:39:23.549763+00:00
PYTH|jupiter|0.04616189359822164|5.854625734998164|161517.90899745462|412107830|2026-04-09T16:39:23.549763+00:00
JitoSOL|jupiter|106.14695270305734|0.3236168847683736|930961930.4297149|412107830|2026-04-09T16:39:23.549763+00:00
JUP|jupiter|0.16105450885498335|-1.0682428540145308|3228452.548749532|412107816|2026-04-09T16:39:23.549763+00:00
KMNO|jupiter|0.01917359555801981|-0.461341851056737|1540131.829908332|412107802|2026-04-09T16:39:23.549763+00:00
SOL|jupiter|83.0740890538152|-0.1367128710245363|666398651.1958165|412107839|2026-04-09T16:39:23.549763+00:00
HNT|jupiter|1.0168544930827956|-2.3688756949417655|467843.82363971835|412107628|2026-04-09T16:39:23.549763+00:00
JTO|jupiter|0.28598589708583777|2.4059465098988007|133927.98920672422|412107830|2026-04-09T16:39:23.549763+00:00
mSOL|jupiter|114.35788357006787|0.36368303284706777|270837681.2647423|412107816|2026-04-09T16:39:23.549763+00:00
ORCA|jupiter|0.8983322530110682|0.8841885302925269|372843.9802391459|412107839|2026-04-09T16:39:23.549763+00:00
RENDER|jupiter|2.0530535622242803|0.16123487747577298|651407.5590675796|412107092|2026-04-09T16:39:23.549763+00:00
